Model,MAX_CANDS_LABEL,nDCG_mean,nDCG_std,HR_mean,HR_std,MRR_mean,MRR_std,coverage_mean,feasible_mean,nDCG@10,HR@10,MRR@10
Hybrid-WeightedProduct,40,0.8742596141608082,0.018987659235722276,0.9678161623322914,0.02484834153033099,0.8431251490445039,0.02383750699652232,0.9948717948717949,155.2,0.8743±0.0190,0.9678±0.0248,0.8431±0.0238
Hybrid-WeightedProduct,80,0.8715590668632011,0.01415448627204662,0.9653515301902399,0.019529799755846122,0.8403353617708458,0.02455877915273957,0.9987179487179487,155.8,0.8716±0.0142,0.9654±0.0195,0.8403±0.0246
Hybrid-WeightedProduct,all eligible,0.8716017312100244,0.014067401231534408,0.9564102564102563,0.025800784355766784,0.8432005494505495,0.015875957425812513,1.0,156.0,0.8716±0.0141,0.9564±0.0258,0.8432±0.0159
Hybrid-WeightedSum,20,0.9124169152441779,0.007405628327745576,0.996112165296226,0.0057800422855806095,0.8841944990673376,0.00975759221546894,0.9743589743589745,152.0,0.9124±0.0074,0.9961±0.0058,0.8842±0.0098
Hybrid-WeightedSum,40,0.89933400833026,0.01775471922153847,0.9909592557979654,0.005789323953656649,0.8686261286076954,0.023612888047110606,0.9948717948717949,155.2,0.8993±0.0178,0.9910±0.0058,0.8686±0.0236
Hybrid-WeightedSum,80,0.8972851586676185,0.018299127372736926,0.984590570719603,0.005754544603620069,0.8683674754158626,0.024353554696023866,0.9987179487179487,155.8,0.8973±0.0183,0.9846±0.0058,0.8684±0.0244
Hybrid-WeightedSum,all eligible,0.901687263551214,0.020793340014137476,0.9807692307692308,0.016959944301696086,0.8751704314204314,0.02553489339754824,1.0,156.0,0.9017±0.0208,0.9808±0.0170,0.8752±0.0255
POP-Context,20,0.3100552434889547,0.027257782130708126,0.6212915111920498,0.030147041977436617,0.2162800368424615,0.027048484712958936,0.9743589743589745,152.0,0.3101±0.0273,0.6213±0.0301,0.2163±0.0270
POP-Context,40,0.2419032156403918,0.024385090870406616,0.4510164029518868,0.02578310055948181,0.17856871392816093,0.02411022715862013,0.9948717948717949,155.2,0.2419±0.0244,0.4510±0.0258,0.1786±0.0241
POP-Context,80,0.22247324691704998,0.026732251593248792,0.4005045492142266,0.0360091509136852,0.16841802224060287,0.024614477815889515,0.9987179487179487,155.8,0.2225±0.0267,0.4005±0.0360,0.1684±0.0246
POP-Context,all eligible,0.22147321499950948,0.026509424546218296,0.4,0.036148390204799215,0.16748473748473747,0.024359957373584987,1.0,156.0,0.2215±0.0265,0.4000±0.0361,0.1675±0.0244
POP-Global,20,0.3100552434889547,0.027257782130708126,0.6212915111920498,0.030147041977436617,0.2162800368424615,0.027048484712958936,0.9743589743589745,152.0,0.3101±0.0273,0.6213±0.0301,0.2163±0.0270
POP-Global,40,0.2419032156403918,0.024385090870406616,0.4510164029518868,0.02578310055948181,0.17856871392816093,0.02411022715862013,0.9948717948717949,155.2,0.2419±0.0244,0.4510±0.0258,0.1786±0.0241
POP-Global,80,0.22247324691704998,0.026732251593248792,0.4005045492142266,0.0360091509136852,0.16841802224060287,0.024614477815889515,0.9987179487179487,155.8,0.2225±0.0267,0.4005±0.0360,0.1684±0.0246
POP-Global,all eligible,0.22147321499950948,0.026509424546218296,0.4,0.036148390204799215,0.16748473748473747,0.024359957373584987,1.0,156.0,0.2215±0.0265,0.4000±0.0361,0.1675±0.0244
