Model,Seed,MAX_CANDS,best_b_cbf,best_val_nDCG@10,selection_metric,coverage_rate,feasible_nDCG@10,feasible_HR@10,feasible_MRR@10,feasible_cases,total_cases,best_b,best_l2_reg,best_cfg,best_alpha,best_k_rrf,model_family,model_name,is_selected_best,run_id,config_hash
CBF-wangchanberta-base-att-spm-uncased,999,,0.2,0.7471849974277429,validation_nDCG@10,1.0,0.7871765382729744,0.967948717948718,0.7280423280423279,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,2024,,0.25,0.7591041505958709,validation_nDCG@10,1.0,0.7682426287440471,0.9487179487179487,0.7103581603581604,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,555,,0.2,0.7568936783369286,validation_nDCG@10,1.0,0.7517123186838184,0.9423076923076923,0.6904151404151406,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,42,20.0,,0.6406906312975504,validation_nDCG@10,0.9615384615384616,0.6320079238368137,0.9,0.545005291005291,150,156,0.25,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,123,20.0,,0.6018318552121722,validation_nDCG@10,0.9551282051282052,0.6724941467404277,0.9664429530201343,0.5800681793970386,149,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,999,20.0,,0.6166601845051171,validation_nDCG@10,0.9807692307692307,0.6578638216534338,0.954248366013072,0.5641638136736177,153,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,2024,20.0,,0.6440522798194585,validation_nDCG@10,0.9935897435897436,0.6440590663584924,0.9419354838709677,0.5495135688684077,155,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,555,20.0,,0.6519962603808357,validation_nDCG@10,0.9807692307692307,0.6296573157510769,0.8888888888888888,0.5464804440294637,153,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,42,40.0,,0.6442949510718862,validation_nDCG@10,1.0,0.5843640721160119,0.8910256410256411,0.4878688441188442,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,123,40.0,,0.626688699713276,validation_nDCG@10,0.9871794871794872,0.6274627861429075,0.9090909090909091,0.5386054421768709,154,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,999,40.0,,0.6449448783347254,validation_nDCG@10,1.0,0.6520881280628757,0.9102564102564102,0.5706959706959708,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,2024,40.0,,0.6351018455195793,validation_nDCG@10,0.9935897435897436,0.6557052095320721,0.9161290322580645,0.5723860727086534,155,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,555,40.0,,0.6048937144459432,validation_nDCG@10,0.9935897435897436,0.6520535967570332,0.9096774193548387,0.5702329749103942,155,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,42,80.0,,0.6811661457705644,validation_nDCG@10,1.0,0.6034250869231309,0.8589743589743589,0.5220594220594221,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,123,80.0,,0.6249419672524632,validation_nDCG@10,0.9935897435897436,0.5983991358923701,0.9225806451612903,0.4953405017921149,155,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,999,80.0,,0.6118705213268439,validation_nDCG@10,1.0,0.654738663584515,0.8910256410256411,0.579390516890517,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,2024,80.0,,0.6317634216067101,validation_nDCG@10,1.0,0.6259894838753906,0.8974358974358975,0.5396520146520147,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,555,80.0,,0.6280410443172222,validation_nDCG@10,1.0,0.6166304403387214,0.8717948717948718,0.5345212657712658,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,42,,,0.6475848034974694,validation_nDCG@10,1.0,0.6150960679902868,0.8589743589743589,0.5376297313797314,156,156,0.3,10.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,123,,,0.6037155550344147,validation_nDCG@10,1.0,0.6227875472357979,0.8974358974358975,0.5339183964183964,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,999,,,0.583256180478668,validation_nDCG@10,1.0,0.6433667227854611,0.9166666666666666,0.5566468253968255,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,2024,,,0.6293480400367009,validation_nDCG@10,1.0,0.6256848557628462,0.8782051282051282,0.5459071021571023,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-EASE_R,555,,,0.6556286821308301,validation_nDCG@10,1.0,0.6324201702456776,0.8846153846153846,0.5518925518925519,156,156,0.3,250.0,,,,CF,CF-EASE_R,True,ced76ac42907,20bb7f7d0845
CF-BiasedMF,42,20.0,,0.6244543205631102,validation_nDCG@10,0.9615384615384616,0.6324477591102962,0.96,0.5299444444444447,150,156,0.3,,"{'dim': 16, 'epochs': 100, 'lr': 0.001, 'l2': 0.01, 'batch_size': 256}",,,CF,CF-BiasedMF,True,ced76ac42907,20bb7f7d0845
CF-BiasedMF,123,20.0,,0.5820657318411013,validation_nDCG@10,0.9551282051282052,0.6054428016930957,0.959731543624161,0.49660434643656143,149,156,0.3,,"{'dim': 32, 'epochs': 100, 'lr': 0.001, 'l2': 0.01, 'batch_size': 256}",,,CF,CF-BiasedMF,True,ced76ac42907,20bb7f7d0845
CF-BiasedMF,999,20.0,,0.602590248221317,validation_nDCG@10,0.9807692307692307,0.6013988080203834,0.9607843137254902,0.4903231663035584,153,156,0.3,,"{'dim': 32, 'epochs': 100, 'lr': 0.001, 'l2': 0.01, 'batch_size': 256}",,,CF,CF-BiasedMF,True,ced76ac42907,20bb7f7d0845
CF-BiasedMF,2024,20.0,,0.6012170064026592,validation_nDCG@10,0.9935897435897436,0.6092631478762489,0.9290322580645162,0.5091116231438816,155,156,0.3,,"{'dim': 32, 'epochs': 100, 'lr': 0.001, 'l2': 0.01, 'batch_size': 256}",,,CF,CF-BiasedMF,True,ced76ac42907,20bb7f7d0845
CF-BiasedMF,555,20.0,,0.5764732072401286,validation_nDCG@10,0.9807692307692307,0.627957365598217,0.9477124183006536,0.5267429193899781,153,156,0.3,,"{'dim': 32, 'epochs': 100, 'lr': 0.001, 'l2': 0.01, 'batch_size': 256}",,,CF,CF-BiasedMF,True,ced76ac42907,20bb7f7d0845
CF-BiasedMF,42,40.0,,0.5469249816939766,validation_nDCG@10,1.0,0.5548753555161888,0.8717948717948718,0.45668752543752544,156,156,0.3,,"{'dim': 32, 'epochs': 100, 'lr': 0.001, 'l2': 0.01, 'batch_size': 256}",,,CF,CF-BiasedMF,True,ced76ac42907,20bb7f7d0845
